Date,Location,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,RainToday,RainTomorrow,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,TomorrowTemp
2008-07-16,Melbourne,0.0,2.6,8.3,3,43.0,3,3,19.0,30.0,0.0,0.0,14.4,4.3,9.4,14.4,2.3,8.5,6.1,80.9,0.0,0,0.0,1019.2,47.5,17.6,,,,452,1040,0.43,10.3
2008-07-17,Melbourne,0.0,1.8,1.0,3,59.0,3,3,35.0,30.0,0.0,0.0,12.6,7.5,10.3,12.6,5.0,9.2,5.6,73.9,0.0,0,0.0,1011.2,80.0,19.3,,,,451,1041,0.46,9.0
2008-07-18,Melbourne,0.8,1.8,2.1,12,56.0,14,15,20.0,19.0,0.0,1.0,11.7,6.2,9.0,11.7,3.1,7.1,5.2,77.7,3.061,100,8.33,1008.4,80.6,16.0,,,,451,1041,0.5,9.4
2008-07-19,Melbourne,1.6,1.4,1.4,3,72.0,3,3,33.0,43.0,1.0,0.0,12.6,6.1,9.4,12.6,1.2,7.6,3.7,68.9,0.0,0,0.0,1009.8,82.6,18.2,,,,450,1042,0.53,10.8
2008-07-20,Melbourne,0.8,4.6,0.1,5,63.0,5,3,43.0,39.0,0.0,1.0,12.7,7.1,10.8,12.7,3.9,10.2,5.8,72.4,9.413,100,12.5,1003.1,84.6,15.3,,,,449,1043,0.56,8.3
2008-07-21,Melbourne,13.8,2.4,4.9,12,70.0,11,11,31.0,35.0,1.0,1.0,11.1,5.1,8.3,11.1,1.1,5.6,4.3,76.8,6.854,100,12.5,1013.1,74.1,13.6,,,,449,1044,0.6,7.1
2008-07-22,Melbourne,2.4,1.6,4.4,11,41.0,15,11,15.0,13.0,1.0,0.0,11.3,4.9,7.1,11.3,0.7,4.5,4.2,82.6,2.518,100,16.67,1028.0,78.1,14.9,,,,448,1044,0.63,7.0
2008-07-23,Melbourne,0.8,1.2,1.4,10,24.0,16,10,0.0,17.0,0.0,0.0,10.6,4.7,7.0,10.6,2.5,6.3,5.3,89.3,0.372,100,4.17,1031.8,85.6,12.9,,,,447,1045,0.67,7.3
2008-07-24,Melbourne,0.0,1.0,9.7,5,33.0,5,3,11.0,17.0,0.0,0.0,14.4,1.6,7.3,14.4,-1.8,6.1,3.6,80.3,0.137,100,4.17,1027.9,51.3,10.8,,,,447,1046,0.7,7.4
2008-07-25,Melbourne,0.0,2.0,9.5,5,37.0,3,5,20.0,24.0,0.0,0.0,14.2,-0.1,7.4,14.2,-2.6,5.6,2.9,75.2,0.164,100,4.17,1021.6,57.8,17.8,,,,446,1047,0.74,8.6
2008-07-26,Melbourne,0.0,2.0,4.0,3,41.0,3,5,24.0,20.0,0.0,1.0,12.4,3.7,8.6,12.4,1.0,7.1,4.6,77.2,0.236,100,4.17,1014.9,69.1,18.9,,,,445,1048,0.75,7.3
2008-07-27,Melbourne,8.2,2.0,0.0,8,31.0,15,11,11.0,13.0,1.0,1.0,9.3,5.1,7.3,7.6,2.9,5.5,6.2,92.6,8.39,100,16.67,1012.8,90.0,11.9,,,,444,1048,0.81,6.9
2008-07-28,Melbourne,1.6,1.0,8.1,10,41.0,15,8,9.0,24.0,1.0,0.0,11.4,2.0,6.9,11.4,-0.2,5.5,3.9,83.0,0.0,0,0.0,1020.1,44.0,12.1,,,,443,1049,0.85,6.3
2008-07-29,Melbourne,0.0,1.2,7.6,3,33.0,3,2,11.0,6.0,0.0,0.0,12.7,0.3,6.3,12.7,-1.9,5.0,2.9,80.4,0.137,100,4.17,1019.4,58.9,13.5,,,,443,1050,0.88,8.6
2008-07-30,Melbourne,0.0,1.4,7.5,3,56.0,3,5,28.0,31.0,0.0,0.0,13.9,2.9,8.6,13.9,0.4,7.4,3.7,72.8,0.591,100,8.33,1013.1,62.1,17.9,,,,442,1051,0.92,10.1
2008-07-31,Melbourne,0.4,3.2,4.7,3,69.0,3,3,41.0,41.0,0.0,0.0,15.2,5.9,10.1,15.2,2.3,8.9,4.4,68.2,0.04,100,4.17,1008.2,68.6,17.3,,,,441,1052,0.95,10.0
2008-08-01,Melbourne,0.4,3.8,5.2,15,80.0,7,15,28.0,43.0,0.0,0.0,13.1,7.8,10.0,13.1,3.3,7.8,4.7,70.4,1.24,100,16.67,1002.7,73.4,17.0,,,,440,1052,0.0,9.5
2008-08-02,Melbourne,0.6,3.0,6.0,15,46.0,13,15,19.0,26.0,0.0,0.0,12.4,7.1,9.5,12.4,4.1,7.9,5.8,77.8,0.826,100,4.17,1014.8,80.2,16.4,,,,439,1053,0.02,10.0
2008-08-03,Melbourne,0.0,1.4,5.0,3,52.0,3,3,22.0,30.0,0.0,0.0,13.8,6.2,10.0,13.8,3.2,9.0,5.1,72.3,0.0,0,0.0,1016.6,80.8,17.4,,,,438,1054,0.05,9.7
2008-08-04,Melbourne,0.2,2.8,1.0,5,54.0,3,5,17.0,26.0,0.0,0.0,12.3,5.1,9.7,12.3,2.2,8.7,4.5,70.4,0.19,100,8.33,1017.1,82.2,17.0,,,,437,1055,0.09,7.3
2008-08-05,Melbourne,0.2,2.0,7.7,10,30.0,15,8,6.0,20.0,0.0,0.0,13.1,1.9,7.3,13.1,-1.7,6.2,4.9,85.4,0.167,100,8.33,1022.4,49.6,14.8,,,,436,1056,0.12,9.1
2008-08-06,Melbourne,0.0,1.8,7.6,7,35.0,3,5,13.0,17.0,0.0,0.0,15.1,3.7,9.1,15.1,0.9,8.1,5.1,78.1,0.166,100,8.33,1018.7,84.7,14.5,,,,435,1057,0.15,9.0
2008-08-07,Melbourne,0.0,1.8,5.7,13,41.0,11,8,2.0,15.0,0.0,0.0,14.1,3.7,9.0,14.1,1.7,7.9,4.8,76.7,2.636,100,8.33,1017.0,83.6,15.7,,,,434,1057,0.18,8.0
2008-08-08,Melbourne,0.4,2.2,8.0,6,35.0,6,7,19.0,24.0,0.0,1.0,13.1,3.2,8.0,13.1,-0.4,6.0,3.0,72.5,1.896,100,12.5,1019.9,57.8,17.1,,,,433,1058,0.22,8.0
2008-08-09,Melbourne,1.8,2.8,7.6,6,46.0,3,7,17.0,22.0,1.0,1.0,11.9,3.0,8.0,11.9,-0.1,6.0,3.0,71.9,0.0,0,0.0,1017.7,72.8,17.7,,,,432,1059,0.25,6.3
2008-08-10,Melbourne,4.8,1.6,2.4,12,70.0,13,15,19.0,24.0,1.0,1.0,10.1,4.1,6.3,10.1,0.8,2.9,3.5,83.0,9.782,100,12.5,1013.1,90.0,14.7,,,,430,1060,0.28,8.0
2008-08-11,Melbourne,11.4,2.0,5.2,15,50.0,13,15,19.0,30.0,1.0,0.0,12.3,5.9,8.0,12.3,1.5,5.5,4.3,78.6,8.286,100,16.67,1018.8,80.1,14.4,,,,429,1061,0.31,8.0
2008-08-12,Melbourne,0.6,1.8,4.5,13,63.0,6,13,13.0,26.0,0.0,1.0,12.3,5.1,8.0,12.3,1.1,5.8,3.8,75.4,1.334,100,8.33,1019.7,68.2,16.3,,,,428,1062,0.34,7.7
2008-08-13,Melbourne,1.6,2.0,8.4,15,46.0,13,13,24.0,31.0,1.0,0.0,11.8,3.1,7.7,11.8,-1.1,5.2,2.9,72.8,0.082,100,4.17,1025.1,59.1,16.9,,,,427,1063,0.38,9.4
2008-08-14,Melbourne,0.2,1.6,3.7,15,56.0,15,15,31.0,39.0,0.0,0.0,13.1,7.1,9.4,13.1,3.2,7.4,6.0,79.5,0.702,100,12.5,1022.9,84.2,15.5,,,,426,1063,0.41,10.3
2008-08-15,Melbourne,0.2,2.2,1.4,15,50.0,15,10,26.0,19.0,0.0,1.0,14.1,8.1,10.3,14.1,4.9,8.7,8.1,86.6,4.101,100,12.5,1017.2,90.5,13.2,,,,424,1064,0.44,8.7
2008-08-16,Melbourne,2.2,3.6,2.5,11,52.0,12,11,28.0,28.0,1.0,1.0,11.5,7.1,8.7,11.5,4.3,6.8,6.3,85.6,2.229,100,16.67,1017.8,87.3,13.3,,,,423,1065,0.47,8.0
2008-08-17,Melbourne,4.2,1.4,2.8,12,31.0,12,11,24.0,17.0,1.0,0.0,10.7,6.1,8.0,10.7,2.3,6.2,5.1,82.5,0.218,100,8.33,1023.9,86.2,16.3,,,,422,1066,0.5,8.2
2008-08-18,Melbourne,0.4,1.4,7.1,12,41.0,13,12,24.0,20.0,0.0,0.0,11.7,5.4,8.2,11.7,1.8,6.4,4.8,79.4,1.005,100,12.5,1025.7,72.8,15.2,,,,421,1067,0.54,9.9
2008-08-19,Melbourne,0.0,2.4,6.1,6,50.0,3,7,30.0,28.0,0.0,0.0,14.1,5.1,9.9,14.1,1.9,8.7,3.8,67.2,0.117,100,4.17,1024.4,74.5,17.6,,,,419,1068,0.58,11.4
2008-08-20,Melbourne,0.0,3.0,0.7,6,52.0,3,3,30.0,33.0,0.0,0.0,14.4,9.1,11.4,14.4,5.7,11.1,4.2,61.7,0.082,100,4.17,1019.5,81.7,16.8,,,,418,1068,0.61,7.8
2008-08-21,Melbourne,0.0,3.0,0.0,11,41.0,13,8,9.0,13.0,0.0,1.0,10.9,5.1,7.8,10.9,1.4,5.6,4.4,80.2,8.168,100,8.33,1018.1,88.2,13.1,,,,417,1069,0.65,6.3
2008-08-22,Melbourne,14.0,1.0,5.7,8,46.0,12,8,17.0,31.0,1.0,0.0,10.1,3.0,6.3,10.1,-0.5,3.6,2.6,78.1,2.292,100,12.5,1024.8,66.0,16.4,,,,415,1070,0.69,7.5
2008-08-23,Melbourne,0.6,1.6,5.7,15,26.0,15,9,19.0,11.0,0.0,0.0,11.8,2.0,7.5,11.8,0.8,6.3,5.0,84.6,0.157,100,8.33,1028.6,88.4,16.6,,,,414,1071,0.72,9.5
2008-08-24,Melbourne,0.2,0.8,0.2,13,20.0,15,10,17.0,9.0,0.0,0.0,12.5,5.1,9.5,12.5,5.1,8.6,5.3,76.7,0.292,100,8.33,1029.7,84.7,16.9,,,,413,1072,0.75,7.8
2008-08-25,Melbourne,0.0,1.6,5.1,3,37.0,3,3,19.0,26.0,0.0,0.0,12.7,1.0,7.8,12.7,-1.4,6.4,3.3,75.0,0.0,0,0.0,1024.9,63.2,16.8,,,,411,1073,0.79,10.3
2008-08-26,Melbourne,0.0,3.2,6.0,13,46.0,3,15,28.0,26.0,0.0,0.0,15.3,5.9,10.3,15.3,3.0,8.8,3.7,65.5,0.092,100,8.33,1021.4,75.4,17.0,,,,410,1074,0.83,9.0
2008-08-27,Melbourne,0.0,2.6,5.8,11,30.0,15,11,9.0,19.0,0.0,0.0,13.1,4.1,9.0,13.1,0.4,8.0,5.2,77.8,0.131,100,4.17,1028.4,80.5,17.4,,,,408,1074,0.87,9.4
2008-08-28,Melbourne,0.0,1.6,2.9,10,26.0,13,10,6.0,13.0,0.0,0.0,13.8,6.1,9.4,13.8,5.4,8.7,6.8,85.4,0.0,0,0.0,1027.7,80.3,14.4,,,,407,1075,0.9,10.5
2008-08-29,Melbourne,0.4,1.4,10.0,3,41.0,3,5,19.0,22.0,0.0,0.0,17.4,3.1,10.5,17.4,1.3,9.6,4.8,71.8,0.11,100,4.17,1022.4,43.9,13.5,,,,406,1076,0.94,11.7
2008-08-30,Melbourne,0.0,4.0,1.9,3,80.0,5,3,37.0,41.0,0.0,0.0,16.1,7.0,11.7,16.1,5.3,11.2,6.2,70.0,0.0,0,0.0,1011.6,80.9,17.6,,,,404,1077,0.97,12.0
2008-08-31,Melbourne,0.4,2.2,3.6,14,72.0,6,13,19.0,46.0,0.0,0.0,15.7,8.8,12.0,15.7,6.1,11.5,7.3,73.7,1.733,100,12.5,1007.6,84.5,17.3,,,,403,1078,0.0,10.9
2008-09-01,Melbourne,0.8,4.2,7.8,7,61.0,6,6,13.0,33.0,0.0,0.0,16.1,6.1,10.9,16.1,2.3,9.8,4.3,65.3,0.317,100,8.33,1018.6,70.1,16.5,,,,401,1079,0.04,11.1
2008-09-02,Melbourne,0.8,3.8,4.9,3,43.0,3,11,11.0,17.0,0.0,0.0,14.7,9.1,11.1,14.7,6.8,10.6,6.9,76.4,1.78,100,12.5,1026.0,86.1,14.6,,,,400,1079,0.07,9.3
2008-09-03,Melbourne,0.4,3.4,10.4,9,33.0,9,8,22.0,24.0,0.0,0.0,13.4,5.1,9.3,13.4,2.2,8.1,3.9,70.6,0.088,100,4.17,1033.2,53.1,15.5,,,,398,1080,0.1,8.9
2008-09-04,Melbourne,0.0,3.0,6.5,10,30.0,3,2,4.0,13.0,0.0,0.0,17.1,2.5,8.9,17.1,-0.3,7.8,4.2,75.3,0.161,100,4.17,1030.3,47.4,14.5,,,,397,1081,0.14,10.9
2008-09-05,Melbourne,0.0,2.4,1.2,5,37.0,5,6,17.0,15.0,0.0,0.0,16.7,4.4,10.9,16.7,2.8,10.0,5.2,70.1,0.027,100,4.17,1023.8,76.2,16.7,,,,395,1082,0.17,10.9
2008-09-06,Melbourne,0.0,2.6,7.3,10,26.0,15,8,7.0,17.0,0.0,0.0,17.3,4.4,10.9,17.3,1.3,10.1,6.9,77.9,0.0,0,0.0,1019.8,55.2,15.2,,,,394,1083,0.2,10.6
2008-09-07,Melbourne,0.0,2.2,5.6,11,41.0,13,10,15.0,28.0,0.0,0.0,15.6,7.1,10.6,15.6,5.6,10.1,7.9,84.1,0.908,100,8.33,1018.8,86.3,12.4,,,,392,1084,0.23,9.3
2008-09-08,Melbourne,0.2,1.6,6.3,10,39.0,11,8,19.0,28.0,0.0,0.0,12.4,7.1,9.3,12.4,5.3,8.0,4.6,73.9,0.219,100,4.17,1023.9,81.1,15.6,,,,391,1084,0.25,9.8
2008-09-09,Melbourne,0.2,3.0,0.3,8,30.0,12,10,13.0,17.0,0.0,0.0,11.8,8.1,9.8,11.8,6.4,8.9,3.4,64.3,0.088,100,4.17,1026.3,94.9,17.9,,,,389,1085,0.3,9.8
2008-09-10,Melbourne,0.0,2.2,9.2,3,44.0,3,5,7.0,17.0,0.0,0.0,17.2,2.0,9.8,17.2,-0.4,8.9,2.8,64.4,0.027,100,4.17,1019.8,51.6,17.1,,,,388,1086,0.33,13.5
2008-09-11,Melbourne,0.0,5.0,5.7,3,67.0,3,3,46.0,39.0,0.0,0.0,18.4,8.7,13.5,18.4,6.8,13.3,1.7,46.1,0.049,100,4.17,1011.5,77.0,17.4,,,,386,1087,0.36,17.4
2008-09-12,Melbourne,0.0,11.4,6.9,3,91.0,3,3,65.0,39.0,0.0,0.0,23.1,12.8,17.4,23.1,12.8,17.4,3.4,39.7,0.029,100,4.17,1003.1,80.1,18.7,,,,385,1088,0.39,18.7
2008-09-13,Melbourne,0.0,6.4,10.7,3,70.0,3,3,43.0,39.0,0.0,0.0,24.3,14.1,18.7,24.3,14.1,18.7,6.3,45.5,0.0,0,0.0,1004.4,47.5,20.0,,,,383,1089,0.43,15.5
2008-09-14,Melbourne,0.0,9.2,6.5,14,70.0,14,7,35.0,26.0,0.0,0.0,18.9,11.1,15.5,18.9,11.1,15.5,2.0,41.2,0.0,0,0.0,1001.2,54.4,19.3,,,,382,1089,0.46,11.4
2008-09-15,Melbourne,0.0,8.4,4.9,14,102.0,3,7,39.0,33.0,0.0,1.0,15.1,7.1,11.4,15.1,2.0,10.2,2.4,55.0,1.251,100,12.5,999.8,76.9,15.5,,,,380,1090,0.5,8.6
2008-09-16,Melbourne,2.0,3.8,7.1,15,50.0,13,8,30.0,13.0,1.0,0.0,12.6,6.1,8.6,12.6,1.5,6.6,3.1,68.8,0.0,0,0.0,1018.1,64.4,13.8,,,,378,1091,0.53,9.7
2008-09-17,Melbourne,0.0,2.8,10.7,3,39.0,3,5,11.0,19.0,0.0,0.0,16.4,2.7,9.7,16.4,-1.4,8.4,3.0,66.5,0.146,100,8.33,1022.6,58.1,15.8,,,,377,1092,0.56,12.9
2008-09-18,Melbourne,0.0,4.6,3.8,3,69.0,3,3,37.0,41.0,0.0,0.0,17.9,5.4,12.9,17.9,3.3,12.2,3.1,53.4,0.075,100,8.33,1013.3,81.2,16.8,,,,375,1093,0.6,16.5
2008-09-19,Melbourne,0.0,7.4,5.4,12,67.0,3,3,44.0,31.0,0.0,0.0,24.1,8.1,16.5,24.1,6.4,16.4,5.1,50.5,0.953,100,8.33,1006.7,70.3,18.3,,,,374,1094,0.63,12.1
2008-09-20,Melbourne,0.2,7.4,7.9,13,63.0,6,13,31.0,33.0,0.0,0.0,18.1,7.1,12.1,18.1,4.3,11.4,4.7,63.9,1.072,100,8.33,1009.6,63.4,16.6,,,,372,1095,0.67,12.3
2008-09-21,Melbourne,0.4,4.2,10.6,3,69.0,6,3,26.0,46.0,0.0,0.0,19.3,3.6,12.3,19.3,0.0,11.1,2.2,54.0,0.145,100,4.17,1012.8,22.5,17.3,,,,371,1095,0.7,13.4
2008-09-22,Melbourne,0.0,10.6,3.8,3,83.0,3,15,56.0,31.0,0.0,1.0,20.1,6.1,13.4,20.1,2.8,12.6,4.0,57.5,5.966,100,8.33,1004.2,91.1,15.3,,,,369,1096,0.75,10.0
2008-09-23,Melbourne,6.4,4.4,9.3,13,54.0,15,15,39.0,28.0,1.0,0.0,16.1,4.1,10.0,16.1,0.5,8.8,3.3,65.6,0.0,0,0.0,1018.8,50.9,16.1,,,,368,1097,0.78,11.1
2008-09-24,Melbourne,0.0,3.0,10.1,15,30.0,15,8,19.0,17.0,0.0,0.0,17.1,5.2,11.1,17.1,3.1,10.2,5.1,69.4,0.247,100,4.17,1028.8,45.8,14.2,,,,366,1098,0.81,15.0
2008-09-25,Melbourne,0.0,4.8,11.1,3,65.0,3,3,37.0,43.0,0.0,0.0,22.4,5.8,15.0,22.4,3.9,14.3,3.3,51.5,0.082,100,4.17,1024.1,40.3,17.1,,,,364,1099,0.85,18.2
2008-09-26,Melbourne,0.0,10.0,9.1,3,63.0,3,7,35.0,28.0,0.0,0.0,27.4,13.1,18.2,26.4,13.1,18.1,4.1,45.8,0.0,0,0.0,1017.8,85.3,17.0,,,,363,1100,0.88,16.1
2008-09-27,Melbourne,0.0,8.2,10.3,12,74.0,9,10,9.0,20.0,0.0,0.0,24.6,7.0,16.1,24.6,7.0,16.0,9.4,68.2,0.0,0,0.0,1012.3,56.8,13.3,,,,361,1101,0.92,14.3
2008-09-28,Melbourne,0.0,5.8,7.4,13,61.0,12,15,20.0,26.0,0.0,0.0,19.1,10.1,14.3,19.1,10.1,14.3,6.7,63.2,0.0,0,0.0,1012.1,78.6,17.0,,,,360,1101,0.95,9.7
2008-09-29,Melbourne,0.6,6.0,5.9,11,52.0,12,8,24.0,17.0,0.0,0.0,12.4,6.8,9.7,12.4,4.1,8.7,4.2,70.4,2.337,100,12.5,1018.6,76.4,15.9,,,,358,1102,0.0,10.3
2008-09-30,Melbourne,0.0,3.4,10.8,10,33.0,15,14,24.0,9.0,0.0,0.0,16.1,4.1,10.3,16.1,2.3,9.4,2.5,60.4,0.0,0,0.0,1019.5,62.3,18.9,,,,357,1103,0.02,14.6
2008-10-01,Melbourne,0.0,4.0,4.5,3,74.0,3,5,44.0,37.0,0.0,0.0,21.4,4.8,14.6,21.4,0.9,13.7,0.6,45.0,0.0,0,0.0,1012.7,46.4,17.4,,,,355,1104,0.06,16.7
2008-10-02,Melbourne,0.0,9.0,11.3,3,56.0,15,6,22.0,11.0,0.0,0.0,24.1,10.1,16.7,24.1,10.1,16.7,6.7,54.6,0.049,100,4.17,1011.7,32.0,16.9,,,,354,1105,0.09,15.2
2008-10-03,Melbourne,0.0,6.0,5.0,14,59.0,3,13,35.0,24.0,0.0,1.0,25.1,9.5,15.2,25.1,8.3,15.2,9.5,74.3,4.806,100,8.33,1012.3,66.1,13.0,,,,352,1106,0.12,11.6
2008-10-04,Melbourne,4.4,4.0,9.1,8,39.0,11,9,15.0,19.0,1.0,0.0,15.3,5.1,11.6,15.3,3.3,11.4,6.0,71.3,0.0,0,0.0,1016.5,67.2,15.8,,,,351,1107,0.15,11.6
2008-10-05,Melbourne,0.0,4.2,12.0,6,41.0,3,11,11.0,9.0,0.0,0.0,22.1,2.4,11.6,22.1,-1.2,10.7,2.1,59.0,0.11,100,4.17,1014.1,4.1,17.7,,,,409,1168,0.19,9.5
2008-10-06,Melbourne,1.0,4.8,4.4,12,70.0,15,11,20.0,37.0,0.0,1.0,12.1,7.1,9.5,12.1,3.9,8.1,5.2,75.0,4.723,100,8.33,1012.5,73.4,15.5,,,,408,1169,0.22,10.2
2008-10-07,Melbourne,2.0,4.4,2.5,13,46.0,13,12,22.0,26.0,1.0,0.0,14.2,6.1,10.2,14.2,2.8,8.9,4.9,70.5,0.932,100,8.33,1018.8,83.8,15.6,,,,406,1169,0.25,10.9
2008-10-08,Melbourne,0.0,1.8,4.5,15,39.0,15,15,19.0,20.0,0.0,0.0,15.2,7.2,10.9,15.2,5.4,10.1,4.2,65.1,0.84,100,8.33,1021.7,87.0,15.5,,,,405,1170,0.28,12.1
2008-10-09,Melbourne,0.0,3.6,10.5,10,30.0,14,7,13.0,13.0,0.0,0.0,19.1,6.8,12.1,19.1,5.7,11.6,4.5,62.9,0.024,100,4.17,1025.7,63.7,16.8,,,,403,1171,0.31,13.7
2008-10-10,Melbourne,0.0,4.4,12.0,10,46.0,3,14,24.0,9.0,0.0,0.0,24.3,4.7,13.7,24.3,2.1,12.9,4.8,62.8,0.0,0,0.0,1026.1,16.0,16.4,,,,402,1172,0.35,16.6
2008-10-11,Melbourne,0.0,6.4,9.8,3,52.0,3,7,31.0,28.0,0.0,0.0,26.1,6.1,16.6,26.1,4.5,16.2,4.0,52.7,0.0,0,0.0,1022.9,25.0,16.7,,,,400,1173,0.38,20.9
2008-10-12,Melbourne,0.0,9.6,7.1,3,63.0,3,6,37.0,37.0,0.0,0.0,29.2,9.7,20.9,27.5,8.9,20.5,1.5,32.1,0.0,0,0.0,1016.5,62.5,18.8,,,,399,1174,0.41,17.0
2008-10-13,Melbourne,0.0,14.2,4.9,3,59.0,12,11,30.0,20.0,0.0,0.0,22.1,11.1,17.0,22.1,11.1,17.0,5.1,47.5,0.0,0,0.0,1016.0,80.6,16.4,,,,397,1175,0.44,10.9
2008-10-14,Melbourne,0.0,4.8,6.7,11,37.0,11,8,24.0,20.0,0.0,0.0,15.1,6.1,10.9,15.1,4.5,10.2,3.7,62.6,0.024,100,4.17,1022.7,77.1,14.2,,,,396,1176,0.47,12.2
2008-10-15,Melbourne,0.0,4.8,8.6,8,39.0,12,8,22.0,20.0,0.0,0.0,18.9,6.5,12.2,18.9,4.4,11.7,7.2,73.1,0.0,0,0.0,1024.9,74.6,16.6,,,,394,1177,0.5,14.6
2008-10-16,Melbourne,0.0,4.4,9.5,8,33.0,11,8,6.0,22.0,0.0,0.0,20.1,10.6,14.6,20.1,10.6,14.6,7.9,67.0,0.0,0,0.0,1023.7,65.5,16.1,,,,393,1178,0.54,15.6
2008-10-17,Melbourne,0.0,4.2,12.0,8,35.0,3,8,7.0,24.0,0.0,1.0,22.1,8.4,15.6,22.1,7.7,15.6,8.7,66.9,0.0,0,0.0,1021.7,54.1,13.8,,,,392,1179,0.58,21.0
2008-10-18,Melbourne,1.6,3.6,7.0,3,59.0,3,6,41.0,33.0,1.0,0.0,31.1,9.1,21.0,29.0,8.3,20.4,3.9,42.8,0.0,0,0.0,1018.1,50.6,14.3,,,,390,1180,0.61,16.1
2008-10-19,Melbourne,0.0,12.0,0.6,6,46.0,8,10,20.0,24.0,0.0,0.0,23.3,12.1,16.1,23.3,12.1,16.1,8.7,64.8,0.0,0,0.0,1020.6,84.4,13.3,,,,389,1181,0.65,12.5
